address,alias,city,country,description,group,latitude,longitude,postalcode,serial,is_outdoor,is_road_nearby_values,is_city_center,is_transportation_node,is_park,is_office_nearby,is_recreation_zone
Munkkisaarenlaituri,,Helsinki,Finland,Hernesaari LHC,hernesaari,60.14951,24.92138,00150,0000000006dd41f6,True,True,False,True,False,False,False
Mannerheimintie 22-24,,Helsinki,Finland,Amos Rex,default,60.17065,24.93641,00100,000000000f4919c9,False,False,True,False,False,False,True
Tyynenmerenkatu 8,,Helsinki,Finland,Lansiterminaali 1,lansiterminaali,60.15432,24.9211,00220,0000000019fb59c4,False,False,False,True,False,False,False
Sibeliuksen puisto,,Helsinki,Finland,Sibelius Monumentti,default,60.18203,24.91341,00250,00000000342570c2,True,True,False,False,True,False,True
Mattolaituri,,Helsinki,Finland,Kaivopuiston ranta,default,60.1538,24.95595,00140,0000000038bf9618,True,False,True,False,True,False,True
Pakkahuoneenlaituri,,Helsinki,Finland,Pakkahuoneenlaituri,default,60.16544,24.95398,00100,0000000038d83d41,True,True,True,True,False,False,False
Tyynenmerenkatu 14,,Helsinki,Finland,Lansiterminaali 2,lansiterminaali,60.14947,24.91438,00180,000000004ef3150d,True,True,False,True,False,False,False
"Katajanokanlaituri, valopylvas",,Helsinki,Finland,Katajanokan laituri 2,katajanokka,60.16448,24.97323,00160,0000000053c6c2be,True,True,True,False,False,False,True
Paasisaankaynti,,Helsinki,Finland,Hakaniemen kauppahalli 1,default,60.17918,24.95141,00530,00000000675d5200,False,True,True,False,False,False,False
Kaivokatu 2,,Helsinki,Finland,Ateneum,default,60.17002,24.94407,00100,000000006b087f40,False,True,True,False,False,True,True
Etelaranta,,Helsinki,Finland,Kauppatori,default,60.16762,24.95415,00170,000000006b44cce7,True,True,True,True,False,True,False
Toolonlahdenranta 1,,Helsinki,Finland,Oodi,default,60.17368,24.9381,00100,0000000074f765a7,False,False,True,False,False,False,True
Torikadun sisaankaynti,,Helsinki,Finland,Hakaniemen kauppahalli 2,default,60.17919,24.95181,00530,000000007b5207b6,False,True,True,False,False,False,False
Lutherinkatu 3,,Helsinki,Finland,Temppeliaukion kirkko,default,60.173,24.92524,00100,0000000096918cfa,False,True,False,False,False,False,True
Hernesaarenlaituri,,Helsinki,Finland,Hernesaari LHD,hernesaari,60.14699,24.922,00150,00000000a53ed894,True,True,False,False,False,True,False
Alexanterinkatu 24,,Helsinki,Finland,Senaatintori lantinen,default,60.16897,24.95222,00170,00000000aa852af1,True,True,True,False,False,True,True
Pohjoisespa 41,,Helsinki,Finland,Stockmann,default,60.16829,24.94214,00100,00000000afef4555,False,False,True,False,False,True,False
Narikkatorin sisaankaynti,,Helsinki,Finland,Kamppi,default,60.169,24.93288,00100,00000000b33a8357,True,False,True,False,False,True,True
Alexanterinkatu 20,,Helsinki,Finland,Senaatintori itainen,default,60.16899,24.95337,00170,00000000cd16b8ef,True,True,True,False,False,True,True
Katajanokanlaituri 8,,Helsinki,Finland,Katajanokan terminaali,katajanokka,60.1638,24.96846,00160,00000000d747f075,False,True,False,True,False,False,False
Munkkisaarenlaituri,,Helsinki,Finland,Hernesaari LHB,hernesaari,60.15133,24.92329,00150,00000000e8a064a4,False,True,False,True,False,False,False
Olympiaranta 1,,Helsinki,Finland,Olympiaterminaali,olympia,60.16075,24.95883,00100,00000000f1124bca,False,True,False,True,False,False,False
Katajanokka,,Helsinki,Finland,Katajanokan laituri,katajanokka,60.16629,24.95957,00160,00000000fb7600be,True,True,False,False,False,False,False
Erottajankatu 11,,Helsinki,Finland,Dianapuisto,default,60.16531,24.9442,00130,00000000fdda10fe,True,True,True,False,True,True,False
Paalaituri,,Helsinki,Finland,Suomenlinna,default,60.149,24.9843,00190,00000000fffb8cf0,True,True,False,False,True,False,True
